"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,-8.979213946,-4.001507328,0.049724345,-6.175982009,0,0,21.38558819,0,-11.87695993,0,12.41733168,0,-6.353136659,0,3.095071036,17.4905864,0,0,0,0.848530544,-16.46662416,-14.5737162,0.956959524,6.877591215,-0.374344648,0,0,-6.245195086,0,-13.81534377,2.082310176,-17.96614029,0,0,0,-8.398048463,3.6292724
"2",-8.979213946,0,-3.458477151,19.44534742,1.040175706,3.638211813,-4.952741064,28.27503441,-5.196459674,5.174003327,4.940928364,0.859202484,-6.133935958,13.06813937,-2.376072567,1.053191798,15.54487629,-5.391053691,-15.09554516,18.02381128,-2.037890754,-2.763945186,-10.49160317,8.058884615,6.928313678,10.21763578,-22.77447668,-2.10631869,-11.59020276,-6.582623677,2.735996957,3.756533031,1.115400265,-20.57774761,-31.81536286,-2.38539239,1.601934317,1.066912294
"3",-4.001507328,-3.458477151,0,6.856230324,-6.806273259,1.0369128,-4.0399195,25.42571635,7.245505128,-15.35342803,8.227604846,14.13132658,9.202070555,-9.604777135,0.7142506325,3.0703396005,23.42830874,-0.805492522,-3.938172737,8.613721616,18.25595385,5.245592655,9.091254821,7.130596637,19.9543678,5.006018425,-2.694827624,10.22566745,7.215538936,5.652250385,-6.000398286,-0.626435798,2.423487975,1.525824369,-0.715024317,3.382661424,4.416866718,26.649056395
"4",0.049724345,19.44534742,6.856230324,0,21.58994155,30.01072674,15.21554287,49.58537842,26.61560809,6.940384634,10.41877057,38.90157501,8.533463282,14.32727111,0.1410336,23.24950679,48.30622234,14.79446903,7.175530374,19.88938667,34.68018858,22.93872493,13.13126967,22.5055494,56.87485083,27.91776764,-0.67486542,-0.172008744,36.87698726,11.58051482,1.559929452,13.91173227,22.24472167,14.12689082,21.06278538,14.9718237,20.0076554,22.42661342
"5",-6.175982009,1.040175706,-6.806273259,21.58994155,0,17.17220066,5.096487233,38.26264078,8.38042906,-16.74289563,3.783414197,4.443649109,5.782023495,0.984737226,-3.696604128,6.896124843,18.27788586,-3.955374776,-0.275437649,9.839588987,9.059067637,11.02237067,4.844794152,-5.124067005,20.47515367,11.26617745,-12.43250146,3.077142016,1.136032484,11.5858005,-12.18622651,0.4992391,0.238133815,0.558329438,4.51197971,-2.567892115,-0.472811029,-3.359921649
"6",0,3.638211813,1.0369128,30.01072674,17.17220066,0,0,42.00388849,0,-2.044819159,0,20.16588576,0,-1.086357681,0,2.893768119,29.26967698,0,0,0,-11.79848688,-0.024954089,-12.1726948,-6.419117723,19.40428736,-11.09833158,0,0,-0.555141023,0,-20.72438161,5.695108404,4.523759783,0,0,0,8.504959585,19.40682201
"7",0,-4.952741064,-4.0399195,15.21554287,5.096487233,0,0,20.84082433,0,0.334127273,0,-3.072280744,0,1.096419798,0,-3.479588123,-9.032689811,0,0,0,-11.15448584,-7.130174418,-13.74195139,-7.056699596,4.821455146,-10.06942914,0,0,-3.885033928,0,-3.301070463,0.808875706,-0.019538333,0,0,0,3.969061749,6.366250764
"8",21.38558819,28.27503441,25.42571635,49.58537842,38.26264078,42.00388849,20.84082433,0,61.01399927,19.80814648,40.48800624,39.95268983,60.79997037,28.70070653,19.23224404,46.91523611,56.42162425,22.8819116,10.30840849,60.0241176,58.9528984,37.64561986,34.29853174,42.36548126,56.92641316,44.17722855,15.85828692,51.96863126,47.84534611,39.68598911,12.2339626,23.54768121,12.5673845,27.20024806,42.18423999,53.84310556,12.48648607,39.556926925
"9",0,-5.196459674,7.245505128,26.61560809,8.38042906,0,0,61.01399927,0,2.582136544,0,18.49637803,0,2.463237142,0,-1.557649196,28.11855047,0,0,0,38.20959773,20.46092764,17.13225583,8.084234297,49.61409943,19.89903226,0,0,6.19826361,0,5.380538143,10.87418112,-11.96595315,0,0,0,15.14782236,5.418211491
"10",-11.87695993,5.174003327,-15.35342803,6.940384634,-16.74289563,-2.044819159,0.334127273,19.80814648,2.582136544,0,-2.288709853,6.488872239,3.071693084,-2.492823839,-8.387551733,5.403311375,24.1077486,-4.712548121,-2.552213411,8.887980503,-3.322099861,-6.929982074,-12.53597676,-4.434959738,-0.119382165,-7.185271386,-19.22260651,-5.761763953,-2.628099968,-13.48023349,-18.95008123,0.720141555,-11.89639077,-2.24043516,-20.29283824,-4.391422366,-25.94683162,-7.508786888
"11",0,4.940928364,8.227604846,10.41877057,3.783414197,0,0,40.48800624,0,-2.288709853,0,21.36506775,0,-8.242673892,0,-5.772930104,27.36484932,0,0,0,22.72333325,9.422195964,-9.400356578,-11.25304566,10.03151198,1.947655584,0,0,8.596142966,0,-15.29786353,-2.036964087,-0.185936484,0,0,0,9.89044371,11.16793224
"12",12.41733168,0.859202484,14.13132658,38.90157501,4.443649109,20.16588576,-3.072280744,39.95268983,18.49637803,6.488872239,21.36506775,0,42.42601554,-2.718358817,10.29169882,24.54634356,-4.665475423,2.917968387,-1.960145554,5.025603298,32.11986629,19.22379042,16.4102642,24.63964295,47.34442041,22.84912197,-3.211574446,29.38236,37.16879127,17.72507981,-2.257154012,16.80567643,-9.579302695,32.12638544,42.3579718,34.26409169,16.20687435,21.94775464
"13",0,-6.133935958,9.202070555,8.533463282,5.782023495,0,0,60.79997037,0,3.071693084,0,42.42601554,0,-10.67503159,0,6.94626662,50.4281854,0,0,0,36.55388298,3.696659058,3.284335966,2.761794919,11.94561077,4.006327786,0,0,30.23540886,0,-10.0797683,4.569778444,-3.522124658,0,0,0,10.27511559,18.18567062
"14",-6.353136659,13.06813937,-9.604777135,14.32727111,0.984737226,-1.086357681,1.096419798,28.70070653,2.463237142,-2.492823839,-8.242673892,-2.718358817,-10.67503159,0,-3.335360779,10.49389124,13.6084643,-14.01295594,-5.997125214,-0.762136692,-9.939653471,3.933545452,-17.26781172,-8.031820198,5.763741367,-2.922885508,-24.37481524,-17.56400238,-14.47538408,-18.13081596,-8.422196512,6.834626773,-3.986723154,-5.569631965,-28.62431489,-15.41936663,-7.712031573,6.963550415
"15",0,-2.376072567,0.7142506325,0.1410336,-3.696604128,0,0,19.23224404,0,-8.387551733,0,10.29169882,0,-3.335360779,0,-0.094835716,6.353203799,0,0,0,5.475319874,1.707810327,-3.155548345,-2.220348891,5.067260649,1.650883217,0,0,7.479853203,0,-10.47691726,-4.24258743,-0.763086804,0,0,0,0.137725023,17.871104105
"16",3.095071036,1.053191798,3.0703396005,23.24950679,6.896124843,2.893768119,-3.479588123,46.91523611,-1.557649196,5.403311375,-5.772930104,24.54634356,6.94626662,10.49389124,-0.094835716,0,25.76757675,2.351426038,-3.976776191,0.756970719,23.91476532,3.990673901,4.548406443,2.420622444,28.39515721,15.71308083,-2.452649064,-5.088876639,12.83024918,8.337980768,0.941753313,5.443011399,4.867554616,10.0465601,13.08406127,5.237040929,15.29045291,11.79516371
"17",17.4905864,15.54487629,23.42830874,48.30622234,18.27788586,29.26967698,-9.032689811,56.42162425,28.11855047,24.1077486,27.36484932,-4.665475423,50.4281854,13.6084643,6.353203799,25.76757675,0,11.41634361,4.158579974,48.26045476,38.312111485,16.43461968,31.11158097,28.43135492,58.28508027,56.241644305,-2.930481586,44.74681055,62.69581502,25.47652962,-1.253803208,22.24450212,6.005303906,26.61682989,33.08985674,44.24021216,14.32521296,34.52902977
"18",0,-5.391053691,-0.805492522,14.79446903,-3.955374776,0,0,22.8819116,0,-4.712548121,0,2.917968387,0,-14.01295594,0,2.351426038,11.41634361,0,0,0,-4.86589149,-19.04047143,-7.318763761,-8.19848652,18.38020477,2.469763557,0,0,-15.73853283,0,-3.263749395,1.199822329,-5.98966918,0,0,0,1.45626137,6.653447579
"19",0,-15.09554516,-3.938172737,7.175530374,-0.275437649,0,0,10.30840849,0,-2.552213411,0,-1.960145554,0,-5.997125214,0,-3.976776191,4.158579974,0,0,0,-6.344415958,-29.07732432,-7.987242446,-15.79526144,-4.623336845,-1.57809904,0,0,-11.54436348,0,1.656346084,-1.031290676,-4.572229584,0,0,0,-3.45291067,6.96963184
"20",0,18.02381128,8.613721616,19.88938667,9.839588987,0,0,60.0241176,0,8.887980503,0,5.025603298,0,-0.762136692,0,0.756970719,48.26045476,0,0,0,21.29473214,15.2844889,7.470231388,-10.26009055,19.455189,7.006186703,0,0,18.98141705,0,-32.89159201,0.409406759,9.692913781,0,0,0,11.34832909,4.23645538
"21",0.848530544,-2.037890754,18.25595385,34.68018858,9.059067637,-11.79848688,-11.15448584,58.9528984,38.20959773,-3.322099861,22.72333325,32.11986629,36.55388298,-9.939653471,5.475319874,23.91476532,38.312111485,-4.86589149,-6.344415958,21.29473214,0,12.95319563,12.72684049,16.50208313,30.820174185,19.86313338,-8.652099811,28.6569063,40.30703362,9.428332732,3.294979889,24.36712124,0.121417634,29.40647247,10.28240512,31.50647277,17.42016365,26.08727601
