"","x"
"1","A2058"
"2","A2780"
"3","A375"
"4","A427"
"5","CAOV3"
"6","COLO320DM"
"7","DLD1"
"8","EFM192B"
"9","ES2"
"10","HCT116"
"11","HT144"
"12","HT29"
"13","KPL1"
"14","LNCAP"
"15","LOVO"
"16","MDAMB436"
"17","MSTO"
"18","NCIH1650"
"19","NCIH2122"
"20","NCIH23"
"21","NCIH460"
"22","NCIH520"
"23","OCUBM"
"24","OV90"
"25","OVCAR3"
"26","PA1"
"27","RKO"
"28","RPMI7951"
"29","SKMEL30"
"30","SKMES1"
"31","SKOV3"
"32","SW620"
"33","SW837"
"34","T47D"
"35","UACC62"
"36","UWB1289"
"37","UWB1289BRCA1"
"38","VCAP"
"39","ZR751"
