drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU,ABT-888,A2058,7.693530166,2
5-FU,ABT-888,A2780,7.77805306,2
5-FU,ABT-888,A375,-1.198505438,2
5-FU,ABT-888,A427,2.595684438,2
5-FU,ABT-888,CAOV3,-5.139971221,2
5-FU,ABT-888,COLO320DM,4.175936435,2
5-FU,ABT-888,DLD1,1.935127119,2
5-FU,ABT-888,EFM192B,-5.089852856,2
5-FU,ABT-888,ES2,1.498650452,2
5-FU,ABT-888,HCT116,9.463280869,2
5-FU,ABT-888,HT144,-3.701354746,2
5-FU,ABT-888,HT29,10.17343391,2
5-FU,ABT-888,KPL1,2.157004428,2
5-FU,ABT-888,LNCAP,1.632631585,2
5-FU,ABT-888,LOVO,-8.979213946,2
5-FU,ABT-888,MDAMB436,6.899259995,2
5-FU,ABT-888,MSTO,-1.793073865,2
5-FU,ABT-888,NCIH1650,-5.996370297,2
5-FU,ABT-888,NCIH2122,7.890256814,2
5-FU,ABT-888,NCIH23,-5.042652306,2
5-FU,ABT-888,NCIH460,-6.611947917,2
5-FU,ABT-888,NCIH520,3.698834848,2
5-FU,ABT-888,OCUBM,3.932148453,2
5-FU,ABT-888,OV90,-10.06884761,2
5-FU,ABT-888,OVCAR3,17.63703287,2
5-FU,ABT-888,PA1,5.686488451,2
5-FU,ABT-888,RKO,-2.677587786,2
5-FU,ABT-888,RPMI7951,-2.17322193,2
5-FU,ABT-888,SKMEL30,-36.45922958,2
5-FU,ABT-888,SKMES1,-0.086424579,2
5-FU,ABT-888,SKOV3,5.077177384,2
5-FU,ABT-888,SW620,0.108107719,2
5-FU,ABT-888,SW837,-14.52310863,2
5-FU,ABT-888,T47D,17.48579545,2
5-FU,ABT-888,UACC62,-1.583963783,2
5-FU,ABT-888,UWB1289BRCA1,6.577263832,2
5-FU,ABT-888,UWB1289,12.19479741,2
5-FU,ABT-888,VCAP,1.096102762,2
5-FU,ABT-888,ZR751,-8.675317044,2
5-FU,AZD1775,A2058,13.05268744,1
5-FU,AZD1775,A2780,11.27727295,1
5-FU,AZD1775,A375,2.705127546,1
5-FU,AZD1775,A427,7.494061098,1
5-FU,AZD1775,CAOV3,23.98617954,1
5-FU,AZD1775,COLO320DM,9.398684596,1
5-FU,AZD1775,DLD1,9.820124407,1
5-FU,AZD1775,EFM192B,2.924820756,1
5-FU,AZD1775,ES2,10.05752609,1
5-FU,AZD1775,HCT116,13.96127138,1
5-FU,AZD1775,HT144,6.065389002,1
5-FU,AZD1775,HT29,-2.712205241,1
5-FU,AZD1775,KPL1,-2.061161349,1
5-FU,AZD1775,LNCAP,9.970389407,1
5-FU,AZD1775,LOVO,-4.001507328,1
5-FU,AZD1775,MDAMB436,23.3811342,1
5-FU,AZD1775,MSTO,-32.99061919,1
5-FU,AZD1775,NCIH1650,10.77339767,1
5-FU,AZD1775,NCIH2122,4.317888565,1
5-FU,AZD1775,NCIH23,-7.115899185,1
5-FU,AZD1775,NCIH460,13.58269769,1
5-FU,AZD1775,NCIH520,2.57870858,1
5-FU,AZD1775,OCUBM,33.59292588,1
5-FU,AZD1775,OV90,-3.193651947,1
5-FU,AZD1775,OVCAR3,12.23369196,1
5-FU,AZD1775,PA1,25.07262477,1
5-FU,AZD1775,RKO,19.33320151,1
5-FU,AZD1775,RPMI7951,16.72201512,1
5-FU,AZD1775,SKMEL30,2.288718888,1
5-FU,AZD1775,SKMES1,33.3532584,1
5-FU,AZD1775,SKOV3,18.74496394,1
5-FU,AZD1775,SW620,8.051672533,1
5-FU,AZD1775,SW837,2.577855416,1
5-FU,AZD1775,T47D,10.0383629,1
5-FU,AZD1775,UACC62,11.45935053,1
5-FU,AZD1775,UWB1289BRCA1,6.222113978,1
5-FU,AZD1775,UWB1289,70.15816882,1
5-FU,AZD1775,VCAP,-0.998327533,1
5-FU,AZD1775,ZR751,0.423932097,1
