drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU,ABT-888,A2058,7.693530166,0
5-FU,ABT-888,A2780,7.77805306,0
5-FU,ABT-888,A375,-1.198505438,0
5-FU,ABT-888,A427,2.595684438,0
5-FU,ABT-888,CAOV3,-5.139971221,0
5-FU,ABT-888,COLO320DM,4.175936435,0
5-FU,ABT-888,DLD1,1.935127119,0
5-FU,ABT-888,EFM192B,-5.089852856,0
5-FU,ABT-888,ES2,1.498650452,0
5-FU,ABT-888,HCT116,9.463280869,0
5-FU,ABT-888,HT144,-3.701354746,0
5-FU,ABT-888,HT29,10.17343391,0
5-FU,ABT-888,KPL1,2.157004428,0
5-FU,ABT-888,LNCAP,1.632631585,0
5-FU,ABT-888,LOVO,-8.979213946,0
5-FU,ABT-888,MDAMB436,6.899259995,0
5-FU,ABT-888,MSTO,-1.793073865,0
5-FU,ABT-888,NCIH1650,-5.996370297,0
5-FU,ABT-888,NCIH2122,7.890256814,0
5-FU,ABT-888,NCIH23,-5.042652306,0
5-FU,ABT-888,NCIH460,-6.611947917,0
5-FU,ABT-888,NCIH520,3.698834848,0
5-FU,ABT-888,OCUBM,3.932148453,0
5-FU,ABT-888,OV90,-10.06884761,0
5-FU,ABT-888,OVCAR3,17.63703287,0
5-FU,ABT-888,PA1,5.686488451,0
5-FU,ABT-888,RKO,-2.677587786,0
5-FU,ABT-888,RPMI7951,-2.17322193,0
5-FU,ABT-888,SKMEL30,-36.45922958,0
5-FU,ABT-888,SKMES1,-0.086424579,0
5-FU,ABT-888,SKOV3,5.077177384,0
5-FU,ABT-888,SW620,0.108107719,0
5-FU,ABT-888,SW837,-14.52310863,0
5-FU,ABT-888,T47D,17.48579545,0
5-FU,ABT-888,UACC62,-1.583963783,0
5-FU,ABT-888,UWB1289BRCA1,6.577263832,0
5-FU,ABT-888,UWB1289,12.19479741,0
5-FU,ABT-888,VCAP,1.096102762,0
5-FU,ABT-888,ZR751,-8.675317044,0
5-FU,AZD1775,A2058,13.05268744,0
5-FU,AZD1775,A2780,11.27727295,0
5-FU,AZD1775,A375,2.705127546,0
5-FU,AZD1775,A427,7.494061098,0
5-FU,AZD1775,CAOV3,23.98617954,0
5-FU,AZD1775,COLO320DM,9.398684596,0
5-FU,AZD1775,DLD1,9.820124407,0
5-FU,AZD1775,EFM192B,2.924820756,0
5-FU,AZD1775,ES2,10.05752609,0
5-FU,AZD1775,HCT116,13.96127138,0
5-FU,AZD1775,HT144,6.065389002,0
5-FU,AZD1775,HT29,-2.712205241,0
5-FU,AZD1775,KPL1,-2.061161349,0
5-FU,AZD1775,LNCAP,9.970389407,0
5-FU,AZD1775,LOVO,-4.001507328,0
5-FU,AZD1775,MDAMB436,23.3811342,0
5-FU,AZD1775,MSTO,-32.99061919,0
5-FU,AZD1775,NCIH1650,10.77339767,0
5-FU,AZD1775,NCIH2122,4.317888565,0
5-FU,AZD1775,NCIH23,-7.115899185,0
5-FU,AZD1775,NCIH460,13.58269769,0
5-FU,AZD1775,NCIH520,2.57870858,0
5-FU,AZD1775,OCUBM,33.59292588,0
5-FU,AZD1775,OV90,-3.193651947,0
5-FU,AZD1775,OVCAR3,12.23369196,0
5-FU,AZD1775,PA1,25.07262477,0
5-FU,AZD1775,RKO,19.33320151,0
5-FU,AZD1775,RPMI7951,16.72201512,0
5-FU,AZD1775,SKMEL30,2.288718888,0
5-FU,AZD1775,SKMES1,33.3532584,0
5-FU,AZD1775,SKOV3,18.74496394,0
5-FU,AZD1775,SW620,8.051672533,0
5-FU,AZD1775,SW837,2.577855416,0
5-FU,AZD1775,T47D,10.0383629,0
5-FU,AZD1775,UACC62,11.45935053,0
5-FU,AZD1775,UWB1289BRCA1,6.222113978,0
5-FU,AZD1775,UWB1289,70.15816882,0
5-FU,AZD1775,VCAP,-0.998327533,0
5-FU,AZD1775,ZR751,0.423932097,0
5-FU,BEZ-235,A2058,13.6791116,0
5-FU,BEZ-235,A2780,3.933223908,0
5-FU,BEZ-235,A375,3.290547961,0
5-FU,BEZ-235,A427,8.842811226,0
5-FU,BEZ-235,CAOV3,4.432506351,0
5-FU,BEZ-235,COLO320DM,15.62814774,0
5-FU,BEZ-235,DLD1,13.03557875,0
5-FU,BEZ-235,EFM192B,9.660318047,0
5-FU,BEZ-235,ES2,2.477429029,0
5-FU,BEZ-235,HCT116,2.74578436,0
5-FU,BEZ-235,HT144,2.323089789,0
5-FU,BEZ-235,HT29,11.89580272,0
5-FU,BEZ-235,KPL1,16.46284909,0
5-FU,BEZ-235,LNCAP,55.29129934,0
5-FU,BEZ-235,LOVO,0.049724345,0
5-FU,BEZ-235,MDAMB436,18.97429236,0
5-FU,BEZ-235,MSTO,-8.321116212,0
5-FU,BEZ-235,NCIH1650,17.63815521,0
5-FU,BEZ-235,NCIH2122,7.697273484,0
5-FU,BEZ-235,NCIH23,4.990219711,0
5-FU,BEZ-235,NCIH460,20.10041374,0
5-FU,BEZ-235,NCIH520,16.72179723,0
5-FU,BEZ-235,OCUBM,16.38805559,0
5-FU,BEZ-235,OV90,17.54707857,0
5-FU,BEZ-235,OVCAR3,17.11961235,0
5-FU,BEZ-235,PA1,21.56238672,0
5-FU,BEZ-235,RKO,16.93600135,0
5-FU,BEZ-235,RPMI7951,12.70594985,0
5-FU,BEZ-235,SKMEL30,-73.13840165,0
5-FU,BEZ-235,SKMES1,21.2679035,0
5-FU,BEZ-235,SKOV3,4.245879079,0
5-FU,BEZ-235,SW620,12.02859024,0
5-FU,BEZ-235,SW837,5.514510748,0
5-FU,BEZ-235,T47D,106.0071924,0
5-FU,BEZ-235,UACC62,7.931877525,0
5-FU,BEZ-235,UWB1289BRCA1,18.86503859,0
5-FU,BEZ-235,UWB1289,17.06378033,0
5-FU,BEZ-235,VCAP,11.75742482,0
5-FU,BEZ-235,ZR751,7.075982806,0
5-FU,BORTEZOMIB,A2058,-5.239878448,0
5-FU,BORTEZOMIB,A2780,-18.59912622,0
5-FU,BORTEZOMIB,A375,-2.405334783,0
5-FU,BORTEZOMIB,A427,-7.87670815,0
5-FU,BORTEZOMIB,CAOV3,-35.27304184,0
5-FU,BORTEZOMIB,COLO320DM,-10.97044616,0
5-FU,BORTEZOMIB,DLD1,5.228476756,0
5-FU,BORTEZOMIB,EFM192B,-8.35611103,0
5-FU,BORTEZOMIB,ES2,-16.13012533,0
5-FU,BORTEZOMIB,HCT116,-4.51926945,0
5-FU,BORTEZOMIB,HT144,-14.56978258,0
5-FU,BORTEZOMIB,HT29,-15.95161347,0
5-FU,BORTEZOMIB,KPL1,-2.997532726,0
5-FU,BORTEZOMIB,LNCAP,-1.855232481,0
5-FU,BORTEZOMIB,LOVO,-6.175982009,0
5-FU,BORTEZOMIB,MDAMB436,-2.025565761,0
5-FU,BORTEZOMIB,MSTO,52.48518972,0
5-FU,BORTEZOMIB,NCIH1650,-15.77870569,0
5-FU,BORTEZOMIB,NCIH2122,-16.69626568,0
5-FU,BORTEZOMIB,NCIH23,-9.190964586,0
5-FU,BORTEZOMIB,NCIH460,-18.99813026,0
5-FU,BORTEZOMIB,NCIH520,-24.06755091,0
5-FU,BORTEZOMIB,OCUBM,-7.508624839,0
5-FU,BORTEZOMIB,OV90,-9.586166869,0
5-FU,BORTEZOMIB,OVCAR3,-9.895036466,0
5-FU,BORTEZOMIB,PA1,-20.70616808,0
5-FU,BORTEZOMIB,RKO,2.907200668,0
5-FU,BORTEZOMIB,RPMI7951,-10.47941439,0
5-FU,BORTEZOMIB,SKMEL30,-172.8887021,0
5-FU,BORTEZOMIB,SKMES1,-11.64272985,0
5-FU,BORTEZOMIB,SKOV3,-4.604893623,0
5-FU,BORTEZOMIB,SW620,-1.907966818,0
5-FU,BORTEZOMIB,SW837,-1.3618595,0
5-FU,BORTEZOMIB,T47D,2.748791181,0
5-FU,BORTEZOMIB,UACC62,-17.84185108,0
5-FU,BORTEZOMIB,UWB1289BRCA1,-2.819780355,0
5-FU,BORTEZOMIB,UWB1289,-15.03075018,0
5-FU,BORTEZOMIB,VCAP,-7.053510631,0
5-FU,BORTEZOMIB,ZR751,-17.45137527,0
5-FU,DASATINIB,A2058,31.12564418,0
5-FU,DASATINIB,A2780,50.60366026,0
5-FU,DASATINIB,A375,2.683689159,0
5-FU,DASATINIB,A427,28.34808451,0
5-FU,DASATINIB,CAOV3,17.87983173,0
5-FU,DASATINIB,COLO320DM,6.467031009,0
