"","x"
"1","5-FU"
"2","ABT-888"
"3","AZD1775"
"4","BEZ-235"
"5","BORTEZOMIB"
"6","CARBOPLATIN"
"7","CYCLOPHOSPHAMIDE"
"8","DASATINIB"
"9","DEXAMETHASONE"
"10","DINACICLIB"
"11","DOXORUBICIN"
"12","ERLOTINIB"
"13","ETOPOSIDE"
"14","GELDANAMYCIN"
"15","GEMCITABINE"
"16","L778123"
"17","LAPATINIB"
"18","METFORMIN"
"19","METHOTREXATE"
"20","MITOMYCINE"
"21","MK-2206"
"22","MK-4541"
"23","MK-4827"
"24","MK-5108"
"25","MK-8669"
"26","MRK-003"
"27","OXALIPLATIN"
"28","PACLITAXEL"
"29","PD325901"
"30","SN-38"
"31","SORAFENIB"
"32","SUNITINIB"
"33","TEMOZOLOMIDE"
"34","TOPOTECAN"
"35","VINBLASTINE"
"36","VINORELBINE"
"37","ZOLINZA"
"38","MK-8776"
