"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,17.48579545,10.0383629,106.0071924,2.748791181,0,0,18.86560141,0,-2.721986339,0,-3.049710368,0,30.67999441,0,21.15875733,14.90928278,0,0,0,5.968610426,0.819541539,-9.881815829,4.929422113,24.17858199,-10.84738769,0,0,46.99657957,0,-4.531377558,8.941154332,-31.48916586,0,0,0,7.530007948,2.458198555
"2",17.48579545,0,-10.32331212,117.0012793,-18.76073137,-72.75826409,-4.08859713,-14.32665176,-13.19120927,-24.15595065,18.45688891,-14.15331149,19.26227749,-27.25381749,-2.733624055,-17.30650985,2.495023528,-24.07164482,-31.86794075,-22.77339723,-1.466143627,-16.1532543,-0.198489483,9.558450433,16.0705422,14.84455283,-34.67794411,-3.017011289,-6.510557004,39.83231175,13.26383871,21.82066136,1.87522322,10.2752314,-19.7234483,-62.14153045,7.25090663,6.120087826
"3",10.0383629,-10.32331212,0,93.72819505,-16.28306878,-6.150639911,-8.212706736,10.49875118,-16.57348017,-8.963166233,19.38540678,7.514099443,-20.69843069,-15.83642827,17.64470274,-7.370101776,9.333495762,4.120914941,-13.49902402,-4.034355318,12.86462868,-10.92011243,11.04600911,3.242083461,28.9104439,4.545559571,-2.739560542,-22.91511908,-2.849065015,-18.69047823,3.393250035,9.318108925,-25.59398837,1.820554917,-23.22852677,-13.60598844,21.03839338,9.769242684
"4",106.0071924,117.0012793,93.72819505,0,87.02122222,107.9732847,100.4024954,169.7166583,90.90923441,90.99144315,77.42154796,141.790374,101.6125542,155.3899654,46.29499521,100.7168772,158.1723247,111.9594401,35.74583505,113.434362,84.54414889,137.2835902,110.1087282,114.567378,179.1233246,103.2081093,87.76943271,97.80849248,148.1269392,33.15341607,36.98789056,72.21669983,125.5331215,57.24360015,54.50425259,121.2857062,109.7250532,103.9669876
"5",2.748791181,-18.76073137,-16.28306878,87.02122222,0,-49.58871529,-23.08859768,4.145651566,-9.157277118,-30.84448292,9.316638574,-42.70233051,-19.80398812,-54.25105653,-12.46561222,-18.88599842,-31.40365846,-8.762215376,-34.99574126,-32.00631903,-10.6691753,-20.03386423,-11.2295534,-8.625776934,-11.06971667,0.234737812,-37.74654365,-21.07086289,-39.78659037,-11.05282061,-6.748286209,1.442410221,-20.79693742,-0.682078892,-32.24183569,-35.92059286,2.863953999,-8.126399187
"6",0,-72.75826409,-6.150639911,107.9732847,-49.58871529,0,0,-33.14228116,0,-76.6840883,0,-27.82929323,0,-71.20630142,0,-31.79073985,-6.685440192,0,0,0,-43.91738999,-24.75621273,-45.05215893,22.06855018,-30.60922974,-36.19054664,0,0,-27.46159368,0,-17.01062835,-14.48081501,-136.9097827,0,0,0,39.85203418,-51.43911997
"7",0,-4.08859713,-8.212706736,100.4024954,-23.08859768,0,0,-15.33862999,0,0.000749814,0,26.18489183,0,-25.05944518,0,-14.96860537,-5.980442242,0,0,0,37.41936164,12.10312224,-24.21855613,22.07693933,24.59091498,-33.56754882,0,0,-54.33920079,0,-0.357384795,3.684791293,-47.74951594,0,0,0,36.96806046,-4.31321507
"8",18.86560141,-14.32665176,10.49875118,169.7166583,4.145651566,-33.14228116,-15.33862999,0,-56.4086851,11.69323841,47.20344049,18.30709922,-19.09969407,-1.787261036,4.964453227,31.75982728,31.24126538,13.13202974,3.41924118,19.53261314,19.00673314,-4.443396988,-15.38395731,-5.799404429,54.01528824,18.60266321,-16.1681578,41.79292062,5.578434034,40.41995678,2.901823005,9.440672462,-48.83282624,8.719912898,-40.10616085,45.21935482,11.80931182,3.08598706
"9",0,-13.19120927,-16.57348017,90.90923441,-9.157277118,0,0,-56.4086851,0,-31.80455604,0,-22.50252279,0,-30.07927989,0,-42.16076203,-44.21924557,0,0,0,-10.05452424,-49.52034458,-42.43367586,14.32160004,-0.610011682,-7.244304535,0,0,-42.08692277,0,9.223386018,0.642971401,-66.16676967,0,0,0,-2.057246501,-42.42649563
"10",-2.721986339,-24.15595065,-8.963166233,90.99144315,-30.84448292,-76.6840883,0.000749814,11.69323841,-31.80455604,0,5.257176118,-1.093565722,-5.678191297,-39.85034847,-9.760319829,-11.03031711,-4.358456595,-6.443326753,-25.36621389,-24.55322948,1.457219135,-53.059033,-28.79779446,-12.40801934,22.72587666,-28.64086619,14.06177303,-45.76200708,-15.72237938,-36.17621345,-4.42210441,9.246550392,-21.73465024,-9.764205037,-59.97465657,-13.1210252,-16.99583301,-4.20805721
"11",0,18.45688891,19.38540678,77.42154796,9.316638574,0,0,47.20344049,0,5.257176118,0,23.91141393,0,6.348842544,0,8.724394109,42.3755568,0,0,0,35.67707513,21.66483825,21.05152592,6.727295602,37.87194371,16.75350498,0,0,11.75903266,0,-2.845453918,-12.09784645,7.458482223,0,0,0,22.84665169,-2.770384063
"12",-3.049710368,-14.15331149,7.514099443,141.790374,-42.70233051,-27.82929323,26.18489183,18.30709922,-22.50252279,-1.093565722,23.91141393,0,-9.409443094,14.68821763,-7.539089985,-12.12386768,-14.77734431,22.87497244,-16.00668607,-10.70475206,-3.958176299,42.91153743,0.227066041,37.66636466,54.65479081,19.716145,-9.287320112,-31.32509433,-32.78744411,11.12311855,0.960226925,24.14061823,-25.75609877,-8.418283418,-14.05261606,-12.29831992,16.87793979,-10.08431033
"13",0,19.26227749,-20.69843069,101.6125542,-19.80398812,0,0,-19.09969407,0,-5.678191297,0,-9.409443094,0,27.24545847,0,0.286868785,-7.076746444,0,0,0,6.377623467,21.0243065,-30.71348163,-6.895642225,10.68281825,6.095501327,0,0,33.34594771,0,-12.4278492,-26.44624539,-27.82829749,0,0,0,25.24241347,-29.18931096
"14",30.67999441,-27.25381749,-15.83642827,155.3899654,-54.25105653,-71.20630142,-25.05944518,-1.787261036,-30.07927989,-39.85034847,6.348842544,14.68821763,27.24545847,0,-20.38756712,-3.749419951,-31.4758658,-8.033921487,-23.87788965,-22.32412488,-5.361513501,-7.112547232,-21.71288315,44.78143317,31.55305418,14.13402714,-37.34066605,-11.69067445,-6.199922289,10.77505243,9.062147419,24.2090514,-35.90471742,7.920765602,-16.3040975,-37.58848261,-1.006320257,-34.98235241
"15",0,-2.733624055,17.64470274,46.29499521,-12.46561222,0,0,4.964453227,0,-9.760319829,0,-7.539089985,0,-20.38756712,0,-8.51844122,-1.186160316,0,0,0,17.03344245,-3.45367718,-9.732035448,1.678045771,9.664879146,0.560490138,0,0,7.122396884,0,-11.98307103,-10.59709445,4.724334885,0,0,0,5.381354479,20.99778891
"16",21.15875733,-17.30650985,-7.370101776,100.7168772,-18.88599842,-31.79073985,-14.96860537,31.75982728,-42.16076203,-11.03031711,8.724394109,-12.12386768,0.286868785,-3.749419951,-8.51844122,0,8.823786699,12.05778012,-24.69357717,-16.40802121,14.58880263,-25.27060432,4.694846339,-9.012630935,40.04916007,6.471329673,-22.10312984,10.89214331,-14.86371545,7.816275691,0.530908603,8.740402041,-31.683189,8.519656594,20.39818072,-8.7099148,5.489633657,-3.498935788
"17",14.90928278,2.495023528,9.333495762,158.1723247,-31.40365846,-6.685440192,-5.980442242,31.24126538,-44.21924557,-4.358456595,42.3755568,-14.77734431,-7.076746444,-31.4758658,-1.186160316,8.823786699,0,19.05652615,-5.786565321,25.716355,-3.248353707,0.62470726,-6.963796075,-2.863805111,15.3581562,22.23133032,-11.31924505,-3.959009215,58.83005465,2.204959703,1.859363415,15.23508619,-87.2150434,-5.738539865,-33.91977071,6.159652691,-21.4936689,-62.11176396
"18",0,-24.07164482,4.120914941,111.9594401,-8.762215376,0,0,13.13202974,0,-6.443326753,0,22.87497244,0,-8.033921487,0,12.05778012,19.05652615,0,0,0,51.18416682,32.36395088,22.79469315,31.27231388,54.12675087,-3.468072324,0,0,2.569625671,0,9.988871139,18.87622403,-2.049060818,0,0,0,55.63110511,10.84748484
"19",0,-31.86794075,-13.49902402,35.74583505,-34.99574126,0,0,3.41924118,0,-25.36621389,0,-16.00668607,0,-23.87788965,0,-24.69357717,-5.786565321,0,0,0,-15.26166404,-25.47469103,-6.913793863,5.224140924,-20.05299688,0.34477575,0,0,-10.52128058,0,-13.62342347,-17.10641241,-70.76787863,0,0,0,-27.68509706,-40.17065284
